Genus,Species,Number of Instances,Area Size (sq. .),Neighborhood,Median Income,Latitude,Longitude,Ecoregion,Native vs Non Native,Initials,
Juglans,Nigra,2,250,South Congress,30.2532751,-97.7381978,91719,1,0,MS,
Latana,Camara,1,250,South Congress,30.2532751,-97.7381978,91719,1,0,MS,
Leucaena,Leucocephala,1,250,South Congress,30.2532751,-97.7381978,91719,0,0,MS,
Malvaviscus,Arboreus,2,250,South Congress,30.2532751,-97.7381978,91719,1,0,MS,
Markhamia,Zanzibarica,1,250,South Congress,30.2532751,-97.7381978,91719,1,0,MS,
Musa,Velutina,3,250,South Congress,30.2532751,-97.7381978,91719,0,0,MS,
Prunus,Perisca,1,250,South Congress,30.2532751,-97.7381978,91719,0,0,MS,
Punica,Granatum,1,250,South Congress,30.2532751,-97.7381978,91719,0,0,MS,
Quercus,Virginiana,1,250,South Congress,30.2532751,-97.7381978,91719,1,0,MS,
Solidago,Altissima,9,250,South Congress,30.2532751,-97.7381978,91719,1,0,MS,
Agave,Parryi,6,300,West Downtown,30.2855739,-97.735173,54779,1,0,MS,
Chasmanthium,Latifolum,70,300,West Downtown,30.2855739,-97.735173,54779,1,0,MS,
Hamelia,Patens,6,300,West Downtown,30.2855739,-97.735173,54779,0,0,MS,
Hesperaloe,Parviflora,9,300,West Downtown,30.2855739,-97.735173,54779,1,0,MS,
Latana ,Camara,7,300,West Downtown,30.2855739,-97.735173,54779,1,0,MS,
Latana,Viburnoides,3,300,West Downtown,30.2855739,-97.735173,54779,1,0,MS,
Quercus,Virginiana,3,300,West Downtown,30.2855739,-97.735173,54779,1,0,MS,
Sporobolus,Heterolepis,45,300,West Downtown,30.2855739,-97.735173,54779,1,0,MS,
Bambusa,Multiplex,13,200,Barton Creek,30.25738,-97.75073,101477,0,0,MS,
Carya ,Illinoinensis,2,200,Barton Creek,30.25738,-97.75073,101477,1,0,MS,
Hesperaloe,Parviflora,8,200,Barton Creek,30.25738,-97.75073,101477,1,0,MS,
Ilex,Cornuta,14,200,Barton Creek,30.25738,-97.75073,101477,0,0,MS,
Lahgerstroemia,Indica,9,200,Barton Creek,30.25738,-97.75073,101477,0,0,MS,
Nandina,Domestica,20,200,Barton Creek,30.25738,-97.75073,101477,0,0,MS,
Tradescantia,Pallida,1,200,Barton Creek,30.25738,-97.75073,101477,0,0,MS,
Carya,Illinoinensis,1,300,Barton Creek,30.261898,-97.7543243,157135,1,0,MS,
Helichrysum,Petiolare,2,300,Barton Creek,30.261898,-97.7543243,157135,0,0,MS,
Lagerstroemia,Speciosa,5,300,Barton Creek,30.261898,-97.7543243,157135,0,0,MS,
Latana,Montevidensis,9,300,Barton Creek,30.261898,-97.7543243,157135,0,0,MS,
Lirope,Muscari,4,300,Barton Creek,30.261898,-97.7543243,157135,0,0,MS,
Melampodium,Leucanthum,2,300,Barton Creek,30.261898,-97.7543243,157135,1,0,MS,
Morus ,Indica,1,300,Barton Creek,30.261898,-97.7543243,157135,0,0,MS,
Morus ,Rubra,1,300,Barton Creek,30.261898,-97.7543243,157135,1,0,MS,
Quercus,Virginiana,1,300,Barton Creek,30.261898,-97.7543243,157135,1,0,MS,
Taxodium,Distichum,5,300,Barton Creek,30.261898,-97.7543243,157135,1,0,MS,
Wisteria,Floribunda,1,300,Barton Creek,30.261898,-97.7543243,157135,0,0,MS,
Cotoneaster,Integerrimus,5,250,Onion Creek,30.1294948,-97.646886,135714,0,0,MS,
Sorghum,Halpense,75,250,Onion Creek,30.1294948,-97.646886,135714,0,0,MS,
Eurphorbia,Prostrata,9,250,Onion Creek,30.1294948,-97.646886,135714,0,0,MS,
Opuntia,Ficus-Indica,1,250,Onion Creek,30.1294948,-97.646886,135714,0,0,MS,
Quercus,Virginiana,1,250,Onion Creek,30.1294948,-97.646886,135714,1,0,MS,
Cynodon,Dactylon,26,250,Onion Creek,30.1294948,-97.646886,135714,0,0,MS,
Eclipta,Prostrata,2,250,Onion Creek,30.1294948,-97.646886,135714,1,0,MS,
Ipomoea,Lacunosa,21,250,Onion Creek,30.1294948,-97.646886,135714,1,0,MS,
Brahea,Armata,2,200,Central East Austin,30.2649403,-97.7230339,121000,0,1,MS,
Lagerstroemia,Indica,4,200,Central East Austin,30.2649403,-97.7230339,121000,0,1,MS,
Prosopis,Glandulosa,2,200,Central East Austin,30.2649403,-97.7230339,121000,1,1,MS,
Magnolia,Grandiflora,1,200,Central East Austin,30.2649403,-97.7230339,121000,1,1,MS,
Phyllostachys,Aurea,5,200,Central East Austin,30.2649403,-97.7230339,121000,0,1,MS,
Rosa ,Pendulina,3,200,Central East Austin,30.2649403,-97.7230339,121000,0,1,MS,
Loropetalum,Chinense,7,200,Central East Austin,30.2649403,-97.7230339,121000,0,1,MS,
Quercus,Virginiana,3,250,Onion Creek,30.1354336,-97.763127,135714,1,0,MS,
Phlomis,Purpurea,3,250,Onion Creek,30.1354336,-97.763127,135714,0,0,MS,
Salvia,Greggii,3,250,Onion Creek,30.1354336,-97.763127,135714,1,0,MS,
Dietes,Bicolor,1,250,Onion Creek,30.1354336,-97.763127,135714,0,0,MS,
Nassella,Tenuissimia,7,250,Onion Creek,30.1354336,-97.763127,135714,1,0,MS,
Carex,Macrocephala,14,250,Onion Creek,30.1354336,-97.763127,135714,0,0,MS,
Lecophyllum,Frutescens,14,200,Onion Creek,30.1373261,-97.61055,135714,1,0,MS,
Salvia,Farinacea,3,200,Onion Creek,30.1373261,-97.61055,135714,1,0,MS,
Salvia,Greggii,2,200,Onion Creek,30.1373261,-97.61055,135714,1,0,MS,
Quercus ,Virginiana,1,200,Onion Creek,30.1373261,-97.61055,135714,1,0,MS,
Cercis,Canadensis,1,200,Onion Creek,30.1373261,-97.61055,135714,1,0,MS,
Chitalpa,Tashkentensis,3,200,Onion Creek,30.1373261,-97.61055,135714,1,0,MS,
Dactyloctenium ,aegyptium,4,300,Hills of Hays,29.85317,-97.93272,"46,016",0,1,RW,
Trifolium ,repens,1,300,Hills of Hays,29.85317,-97.93272,"46,016",0,1,RW,
poa ,supina,1500,300,Hills of Hays,29.85317,-97.93272,"46,016",0,1,RW,
Axonopus ,Compressus,4000,300,Hills of Hays,29.85317,-97.93272,"46,016",0,1,RW,
ehrharta ,erecta,200,300,Hills of Hays,29.85317,-97.93272,"46,016",0,1,RW,
calyptocarpus ,Vialis,20,300,Hills of Hays,29.85317,-97.93272,"46,016",0,1,RW,
Brachiaria ,mutica,2500,300,Hills of Hays,29.85317,-97.93272,"46,016",0,1,RW,
Rottboellia ,cochinchinensis,9200,300,Wallace Addition,29.86419,-97.93515,"36,953",0,1,RW,
Aristolochia ,erecta,800,300,Wallace Addition,29.86419,-97.93516,"36,953",0,1,RW,
cynodon ,dactylon,5000,300,River Hills ,29.84593,-97.91824,"46,016",0,1,RW,
Rottboellia ,cochinchinensis,4,300,River Hills ,29.84593,-97.91825,"46,016",0,1,RW,
desmanthus ,pernambucanus,7,300,River Hills ,29.84593,-97.91826,"46,016",0,1,RW,
corchorus ,siliquosus,35,300,River Hills ,29.84593,-97.91827,"46,016",0,1,RW,
Drypetes,deplachei,2,300,River Hills ,29.84593,-97.91828,"46,016",0,1,RW,
paspalum,conjugatum,7000,300,Blanco Gardens,29.87053,-97.92938,"38,102",0,1,RW,
aldama,dentata,3000,300,Blanco Gardens,29.87053,-97.92939,"38,102",0,1,RW,
phragmites ,mauritianus,4000,300,Two Rivers East,29.89221,-97.9294,"38,102",0,1,RW,
Glyceria,maxima ,4000,300,Two Rivers East,29.89221,-97.92941,"38,102",0,1,RW,
chenopodium,album,1000,300,Two Rivers East,29.89221,-97.92942,"38,102",0,1,RW,
koelreuteria,bipinnata,2,300,Two Rivers East,29.89221,-97.92943,"38,102",0,1,RW,
quercus ,texana ,1,300,East Guadalupe,29.87996,-97.92954,"34,240",1,1,RW,
eragrostis,pectinacea,7500,300,East Guadalupe,29.87996,-97.92955,"34,240",0,1,RW,
andrachne,telephiodes,10,300,East Guadalupe,29.87996,-97.92956,"34,240",0,1,RW,
amramanthus,blitoides,7,300,East Guadalupe,29.87996,-97.92957,"34,240",1,1,RW,
malvastrum,coromandelianum,3,300,East Guadalupe,29.87996,-97.92958,"34,240",0,1,RW,
amaranthus,polygonoides,4,300,East Guadalupe,29.87996,-97.92959,"34,240",1,1,RW,
parthenium ,hysterophorus,9,300,East Guadalupe,29.87996,-97.9296,"34,240",1,1,RW,
euphorbia ,glyptosperma ,6,300,unincorporated ,29.83377,-97.93261,"46,016",0,1,RW,
sorghum,halepense,5000,300,unincorporated ,29.83377,-97.93262,"46,016",0,1,RW,
eragrostis,barrelieri,15,300,unincorporated ,29.83377,-97.93263,"46,016",0,1,RW,
croton,monanthogynus,4,300,unincorporated ,29.83377,-97.93264,"46,016",1,1,RW,
ambrosia,trifida ,20,300,unincorporated ,29.83377,-97.93265,"46,016",1,1,RW,
chloris,pycnothrix,2500,300,unincorporated ,29.83377,-97.93266,"46,016",0,1,RW,
paspalum,vaginatum,7500,300,unincorporated ,29.81472,-97.937,"46,016",0,1,RW,
sporobolus,neglectus,2500,300,unincorporated ,29.81472,-97.938,"46,016",0,1,RW,
ambrosia,confertiflora,17,300,unincorporated ,29.816,-97.94796,"46,016",0,1,RW,
helianthus,petiolaris,9,300,unincorporated ,29.816,-97.94797,"46,016",0,1,RW,
paspalum,setaceum,2500,300,unincorporated ,29.816,-97.94798,"46,016",1,1,RW,
erigeron ,bellioidies,2,300,unincorporated ,29.816,-97.94799,"46,016",0,1,RW,
polygonum,minimum,25,300,unincorporated ,29.816,-97.948,"46,016",0,1,RW,
amphoria ,fruticosa ,3,300,Turkey Hollow,29.86323,-97.96835,"52,614",0,1,RW,
cynodon ,nlemfuensis,13,300,Turkey Hollow,29.86323,-97.96836,"52,614",0,1,RW,
Gomphocarpus,fruticosus,1,300,Turkey Hollow,29.86323,-97.96837,"52,614",0,1,RW,
najas,guadalupensis,2,300,Turkey Hollow,29.86323,-97.96838,"52,614",1,1,RW,
polemonium,micranthum,20,300,Turkey Hollow,29.86323,-97.96839,"52,614",0,1,RW,
sida ,abutifolia,8,300,Turkey Hollow,29.86323,-97.9684,"52,614",0,1,RW,
quercus ,polymorpha,1,300,Turkey Hollow,29.86323,-97.96841,"52,614",0,1,RW,
colophospermum,mopane,1,300,Turkey Hollow,29.86323,-97.96842,"52,614",0,1,RW,
croton,monanthogynus,5000,300,Heritage ,29.88281,-97.95845,"64,911",1,1,RW,
digiteria ,eriantha,28,300,Heritage ,29.88281,-97.95846,"64,911",0,1,RW,
Dermatophyllum,secundiflorum,5,300,Heritage ,29.88281,-97.95847,"64,911",1,1,RW,
agave,decipiens,3,300,Heritage ,29.88281,-97.95848,"64,911",0,1,RW,
lippia,origanoides,2,300,Heritage ,29.88281,-97.95849,"64,911",1,1,RW,
setaria ,scheelei,14,300,Heritage ,29.88281,-97.9585,"64,911",1,1,RW,
muhlenbergia,frondosa,5,300,Heritage ,29.88281,-97.95851,"64,911",0,1,RW,
acacia ,verticillata,1,300,Heritage ,29.88281,-97.95852,"64,911",0,1,RW,
sporobolus,fimbriatus,9900,300,Tanglewood,29.90442,-97.95492,"76,842",0,1,RW,
Astragalius ,austriacus,4,300,Tanglewood,29.90442,-97.95493,"76,842",0,1,RW,
vitis,arizonica,2,300,Tanglewood,29.90442,-97.95494,"76,842",0,1,RW,
Solanum,elaeagnifolium,9,282,Central East Austin,30.266396,-97.721521,94929,1,1,LL,
Paspalum,vaginatum,5000,282,Central East Austin,30.266396,-97.721521,94929,1,1,LL,
Calyptocarpus,vialis,1150,282,Central East Austin,30.266396,-97.721521,94929,0,1,LL,
Artemisia,ludoviciana,10,282,Central East Austin,30.266396,-97.721521,94929,0,1,LL,
Hymenoxys,odorata,51,282,Central East Austin,30.266396,-97.721521,94929,1,1,LL,
Boerhavia,diffusa,34,282,Central East Austin,30.266396,-97.721521,94929,1,1,LL,
Stellaria,media,500,282,Central East Austin,30.266396,-97.721521,94929,0,1,LL,
Portulaca,oleracea,1,282,Central East Austin,30.266396,-97.721521,94929,1,1,LL,
Gutierrezia,sarothrae,13,282,Central East Austin,30.266396,-97.721521,94929,1,1,LL,
Cynodon,dactylon,180,282,Central East Austin,30.266396,-97.721521,94929,0,1,LL,
Sida,Schimperiana,19,282,Central East Austin,30.266396,-97.721521,94929,0,1,LL,
Platanus,occidentalis,1,282,Central East Austin,30.266396,-97.721521,94929,1,1,LL,
Oxalis,x,14,282,Central East Austin,30.266396,-97.721521,94929,0,1,LL,
Axonopus,x,243,282,Mueller,30.296353,-97.702744,84531,1,1,LL,
Cynodon,dactylon,6000,282,Mueller,30.296353,-97.702744,84531,0,1,LL,
Ulmus,crassifolia,12,282,Mueller,30.296353,-97.702744,84531,1,1,LL,
Stellaria,media,780,282,Mueller,30.296353,-97.702744,84531,0,1,LL,
Gutierrezia,sarothrae,70,282,Mueller,30.296353,-97.702744,84531,1,1,LL,
Dichondra,carolinensis,500,282,Mueller,30.296353,-97.702744,84531,1,1,LL,
Cocculus,carolinus,1,300,North Loop, 30.315940,-97.723324,103068,1,0,LL,
Ipomoea,cordatotriloba,4,300,North Loop, 30.315940,-97.723324,103068,1,0,LL,
Vitis,mustangensis,12,300,North Loop, 30.315940,-97.723324,103068,1,0,LL,
Ambrosia,trifida,2,300,North Loop, 30.315940,-97.723324,103068,1,0,LL,
Rottboellia,cochinchinensis,4,300,North Loop, 30.315940,-97.723324,103068,0,0,LL,
Calyptocarpus,vialis,50,300,North Loop, 30.315940,-97.723324,103068,0,0,LL,
Parthenium,hysterophorus,70,300,North Loop, 30.315940,-97.723324,103068,1,0,LL,
Ruellia,simplex,2,300,North Loop, 30.315940,-97.723324,103068,0,0,LL,
Amaranthus,palmeri,200,300,North Loop, 30.315940,-97.723324,103068,1,0,LL,
Cynodon,dactylon,7000,300,North Loop, 30.315940,-97.723324,103068,0,0,LL,
Calyptocarpus,vialii,1700,300,Scofield Farms,30.412641,-97.684078,79807,0,0,LL,
Cynodon,dactylon,5500,300,Scofield Farms,30.412641,-97.684078,79807,0,0,LL,
Dichondra,x,200,300,Scofield Farms,30.412641,-97.684078,79807,0,0,LL,
Lagerstroemia,x,4,300,Scofield Farms,30.412641,-97.684078,79807,0,0,LL,
Prosopis,x,20,300,Scofield Farms,30.412641,-97.684078,79807,0,0,LL,
Quercus,virginiana,15,300,Scofield Farms,30.412641,-97.684078,79807,1,0,LL,
Stellaria,media,5000,300,Scofield Farms,30.412641,-97.684078,79807,0,0,LL,
Taraxacum,officinale,1,300,Scofield Farms,30.412641,-97.684078,79807,0,0,LL,
Trachelospermum,x,500,300,Scofield Farms,30.412641,-97.684078,79807,0,0,LL,
Ulmus,crassifolia,1,300,Scofield Farms,30.412641,-97.684078,79807,1,0,LL,
Cynodon ,dactyylon,50000,300,Windsor Hills,30.386591,-97.652525,57969,0,0,LL,
Celtis,tenuifolia,7,291,Saint John,30.33909,-97.713976,36957,1,0,LL,
Cynodon,dactylon,5000,291,Saint John,30.33909,-97.713976,36957,0,0,LL,
Hibiscus,syriacus,1,291,Saint John,30.33909,-97.713976,36957,0,0,LL,
Justicia,spicigera,3,291,Saint John,30.33909,-97.713976,36957,0,0,LL,
Ligustrum,lucidum,2,291,Saint John,30.33909,-97.713976,36957,0,0,LL,
Mirabilis,jalapa,10,291,Saint John,30.33909,-97.713976,36957,0,0,LL,
Pavonia,hastata,6,291,Saint John,30.33909,-97.713976,36957,0,0,LL,
Prosopis,affinis,200,291,Saint John,30.33909,-97.713976,36957,0,0,LL,
Tradescantia,pallida,20,291,Saint John,30.33909,-97.713976,36957,1,0,LL,
Cynodon ,dactylon,40000,300,Sunset Valley,30.211945,-97.808903,46014,0,0,LL,
Quercus ,virginiana,10,300,Sunset Valley,30.211945,-97.808903,46014,1,0,LL,
Agave,decipiens,3,285,Westgate,30.206212,-97.817326,58750,0,0,LL,
Crataegus,mollis,3,285,Westgate,30.206212,-97.817326,58750,1,0,LL,
Malvastrum,coromandelianum,500,285,Westgate,30.206212,-97.817326,58750,0,0,LL,
Platanus,occidentalis,5,285,Westgate,30.206212,-97.817326,58750,1,0,LL,
Trema,micrantha,5,285,Westgate,30.206212,-97.817326,58750,0,0,LL,
Celtis,laevigata,50,276,Barton Hills,30.255883,-97.783785,122857,1,0,LL,
Handroanthus,impetiginosus,1,276,Barton Hills,30.255883,-97.783785,122857,0,0,LL,
Nandina,domestica,10,276,Barton Hills,30.255883,-97.783785,122857,0,0,LL,
Nassella,trichotoma,6,276,Barton Hills,30.255883,-97.783785,122857,0,0,LL,
Cynodon ,dactylon,65000,270,Travis Heights,30.24551,-97.743649,77105,0,0,LL,
Celtis,laevigata,10,270,Travis Heights,30.24551,-97.743649,77105,1,0,LL,
Malvastrum,coromandelianum,1000,270,Travis Heights,30.24551,-97.743649,77105,0,0,LL,
Quercus  ,virginiana,10,270,Travis Heights,30.24551,-97.743649,77105,1,0,LL,
Tradescantia,pallida,100,270,Travis Heights,30.24551,-97.743649,77105,1,0,LL,
Celtis,laevigata,10,285,Zilker,30.261132,-97.770737,42665,1,0,LL,
Quercus  ,buckleyi,10,285,Zilker,30.261132,-97.770737,42665,1,0,LL,
Lonicera ,sempervirens,10,285,Zilker,30.261132,-97.770737,42665,1,0,LL,
Atriplex,glauca,15,285,Zilker,30.261132,-97.770737,42665,0,0,LL,
Lantana,x,20,240,Circle C Ranch ,30.205586,-97.878217,56292,0,0,LL,
Cylindropuntia,imbricata,10,240,Circle C Ranch ,30.205586,-97.878217,56292,1,0,LL,
Quercus ,virginiana,7,240,Circle C Ranch ,30.205586,-97.878217,56292,1,0,LL,
Cynodon ,dactylon,40000,240,Circle C Ranch ,30.205586,-97.878217,56292,0,0,LL,
Quercus,Virginia,1,1000,St Edwards,30.229,-97.753,"43,677",1,1,KB,
Avicennia,Germinans,2,1000,St Edwards,30.229,-97.753,"43,677",1,1,KB,
Ilex,Vomitoria,3,1000,St Edwards,30.229,-97.753,"43,677",1,1,KB,
Coccinia,Grandis,12,1000,St Edwards,30.229,-97.753,"43,677",1,1,KB,
Calystegia,Atriplifolia,21,1000,St Edwards,30.229,-97.753,"43,677",1,1,KB,
Ruscus,Aculeatus,10,1000,St Edwards,30.229,-97.753,"43,677",1,1,KB,
Amaranthus,Caudatus,100,1000,St Edwards,30.229,-97.753,"43,677",1,1,KB,
Taxodium,Distichum,1,1000,Lady Bird Lake,30.285,-97.74,"89,258",0,1,KB,
Arundo,Donax,30,1000,Lady Bird Lake,30.285,-97.74,"89,258",0,1,KB,
Quercus,Laceyi,4,1000,Lady Bird Lake,30.285,-97.74,"89,258",0,1,KB,
Bauhina,Purpurea,2,1000,Lady Bird Lake,30.285,-97.74,"89,258",0,1,KB,
Optunia,Ficus- Indica,31,1000,Lady Bird Lake,30.285,-97.74,"89,258",0,1,KB,
Leucophyllum,Frutescens,1,1000,Lady Bird Lake,30.285,-97.74,"89,258",0,1,KB,
Prosopis,Glandulosa,150,1000,Lady Bird Lake,30.285,-97.74,"89,258",0,1,KB,
Toxicodendron,Radicans,5,1000,Lady Bird Lake,30.285,-97.74,"89,258",0,1,KB,
Catharanthus,Roseus,6,400,Sunset Valley,30.229,-97.822,"141,250",1,1,KB,
Cupaniopsis,Anacardioides,1,400,Sunset Valley,30.229,-97.822,"141,250",1,1,KB,
Pittosporum,Tobira,3,400,Sunset Valley,30.229,-97.822,"141,250",1,1,KB,
Cornus,Drummondii,5,400,Sunset Valley,30.229,-97.822,"141,250",1,1,KB,
Agave,Havardiana,6,500,West University ,30.266,-97.7404,"112,988",0,1,KB,
Asparagus,Densiflorus,4,500,West University ,30.266,-97.7404,"112,988",0,0,KB,
Crassula,Ovata,5,500,West University ,30.266,-97.7404,"112,988",0,0,KB,
Washington,Robusta,1,500,West University ,30.266,-97.7404,"112,988",0,1,KB,
Dasyliron,Texanum,3,500,West University ,30.266,-97.7404,"112,988",0,1,KB,
Aloe ,Vera,1,235,Windsor Park,30.2383,-97.7169,"64,245",1,1,KB,
Syngonium,Podophyllum,1,235,Windsor Park,30.2383,-97.7169,"64,245",1,0,KB,
Buxus,Sempervirens,2,235,Windsor Park,30.2383,-97.7169,"64,245",1,0,KB,
Cereus Forbesii,Spiralis,2,235,Windsor Park,30.2383,-97.7169,"64,245",1,0,KB,
Cuphea,Ilavea,75,1000,Travis Heights,30.233,-97.748,"114,572",0,1,KB,
Datura,Inoxia,70,1000,Travis Heights,30.233,-97.748,"114,572",0,0,KB,
Nephila,Clavata,2,1000,Travis Heights,30.233,-97.748,"114,572",0,1,KB,
Caesalpinia,Pulcherrima,66,1000,Travis Heights,30.233,-97.748,"114,572",0,1,KB,
Hibiscus,Coccineus,300,1000,Travis Heights,30.233,-97.748,"114,572",0,1,KB,
Sceloporus,Jarrovii,1,1000,Travis Heights,30.233,-97.748,"114,572",0,1,KB,
Anolis,Carolinensis,3,1000,Travis Heights,30.233,-97.748,"114,572",0,1,KB,
Carya ,Illinoinensis,1,1000,Sherwood Oaks,30.232,-97.751,"114,572",1,1,KB,
Clematis,Drummondii,160,1000,Sherwood Oaks,30.232,-97.751,"114,572",1,1,KB,
Lantana,Camara,210,1000,Sherwood Oaks,30.232,-97.751,"114,572",1,1,KB,
Iris,Pseudacorus,56,1000,Sherwood Oaks,30.232,-97.751,"114,572",1,1,KB,
Hibiscus,Syracus,2,1000,Sherwood Oaks,30.232,-97.751,"114,572",1,1,KB,
Lagerstroemia,Indica,2,1000,Sherwood Oaks,30.232,-97.751,"114,572",1,1,KB,
Pyrus,Calleryana,2,400,Travis Heights,30.228,-97.733,"137,486",1,1,KB,
Quercus,Robur,1,400,Travis Heights,30.228,-97.733,"137,486",1,1,KB,
Butia,Capitata,1,400,Travis Heights,30.228,-97.733,"137,486",1,1,KB,
Rose,Abietina,1,235,East Austin,30.2716,-97.7249,"86,556",1,0,KB,
Cycas,Revoluta,1,235,East Austin,30.2716,-97.7249,"86,556",1,0,KB,
Porophyllum,Ruderale,4,235,East Austin,30.2716,-97.7249,"86,556",1,0,KB,
Elaeagnus,Pungens,4,235,East Austin,30.2716,-97.7249,"86,556",1,0,KB,
Ashe,Juniper,1,400,West University ,30.287,-97.744,"45,000",1,0,KB,
Calyptocarpus,Vialis,4,400,West University ,30.287,-97.744,"45,000",1,0,KB,
Rhaphiolepis,Indica,1,400,West University ,30.287,-97.744,"45,000",1,0,KB,
Sophora,Secundiflora,9,400,West University ,30.287,-97.744,"45,000",1,0,KB,
Photinia,Fraseri,2,400,West University ,30.287,-97.744,"45,000",1,0,KB,
Pistacia,Chinensis,3,1000, Mueller ,30.3058,-97.7098,"100,000",1,0,KB,
Quercus,Stellata,3,1000, Mueller ,30.3058,-97.7098,"100,000",1,1,KB,
Platanus ,Occidetalis,5,1000, Mueller ,30.3058,-97.7098,"100,000",1,1,KB,
Rosa X,Noare,30,800,East Austin,30.285,-97.7327,"75,000",1,1,KB,
Podocarpus,Macrophyllus,3,800,East Austin,30.285,-97.7327,"75,000",1,0,KB,
Ficus,Pumila,2,800,East Austin,30.285,-97.7327,"75,000",1,1,KB,
Canna,Indica,5,800,East Austin,30.285,-97.7327,"75,000",1,0,KB,
Tecoma,Stans,2,1000,West University ,30.2842,-97.7444,"23,750",1,0,KB,
Solanum ,Nigrum,4,1000,West University ,30.2842,-97.7444,"23,750",1,1,KB,
Thymus,Serpyllum,5,1000,West University ,30.2842,-97.7444,"23,750",1,1,KB,
Rhus ,Aromatica,2,1000,West University ,30.2842,-97.7444,"23,750",1,1,KB,
Cleome,Spinosa,3,1000,West University ,30.2842,-97.7444,"23,750",1,1,KB,
Carya,C. illinoinesis,3,300,Givens Park,30.2763,-97.6918,"62,876",1,1,MT,
Pistacia,P.¬†chinensis,5,300,Givens Park,30.2763,-97.6918,"62,876",0,1,MT,
Combretum,C. erythrophyllum,9,300,Givens Park,30.2763,-97.6918,"62,876",1,1,MT,
Magnolia,Magnolia Virgininna,1,300,Huston-Tillotson Univ.,30.2646,-97.7223,"93,850",1,1,MT,
Quercus,Q. acutissima,1,300,Huston-Tillotson Univ.,30.2646,-97.7223,"93,850",0,1,MT,
Quercus,Q. lobata,1,300,Huston-Tillotson Univ.,30.2646,-97.7223,"93,850",0,1,MT,
Ehretia,E. anacua,1,300,Huston-Tillotson Univ.,30.2646,-97.7223,"93,850",1,1,MT,
Quercus,Q. alba,1,300,Huston-Tillotson Univ.,30.2646,-97.7223,"93,850",1,1,MT,
Ulmus,P.¬†chinensis,1,300,Huston-Tillotson Univ.,30.2646,-97.7223,"93,850",0,1,MT,
Populus,P. deltoides,1,300,Huston-Tillotson Univ.,30.2646,-97.7223,"93,850",1,1,MT,
Lagerstroemia,L. indica,2,300,Huston-Tillotson Univ.,30.2646,-97.7223,"93,850",0,1,MT,
